Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,alpha,l1_ratio
RandomForestRegressor,Featset1,Original,SCN9A,0.7620542312230582,0.2562142461078069,2.163106019345932e-65,0.02095633108668935,0.060251919026778136,0.02241654783793829,50,338,81,994,0.000364148610291287,0.119938732194465
RandomForestRegressor,Featset1,Original,SCN9A,0.5965724908633928,0.08278626504980006,5.8181665693165114e-34,0.46248664104038895,0.05924544019255514,0.035920521869888936,50,338,81,260,0.20030771370654776,0.0011008044503042283
RandomForestRegressor,Featset1,Original,SCN9A,0.3727762247495561,0.029606308765018893,1.390307998633792e-12,0.7930340449605685,0.06375487220159476,0.05150256334137733,50,338,81,902,0.800154820304921,0.6331811789769954
RandomForestRegressor,Featset1,Original,SCN9A,0.342800393905838,0.17836934181157596,9.403934645198023e-11,0.11112035422145213,0.04710802749440918,0.050694814469464826,50,338,81,880,0.34562641346012174,0.7914617985417619
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.0744361861022706,0.05051457161742359,50,338,81,242,0.7120979041567627,0.9348013323194968
RandomForestRegressor,Featset1,Original,SCN9A,0.5628079277224721,0.1777316273789639,1.242918330669775e-29,0.112424585656017,0.06310629407273498,0.03510091786085488,50,338,81,191,0.06536856854274026,0.04244974247147415
RandomForestRegressor,Featset1,Original,SCN9A,0.5094964787224131,0.17998109496832856,9.985878614894015e-24,0.10787626856997153,0.06703568452510093,0.03859682818718223,50,338,81,697,0.1238914410453555,0.055736677006733716
RandomForestRegressor,Featset1,Original,SCN9A,0.32885477699464016,-0.015629973571680607,5.765266865343131e-10,0.8898517570124587,0.049907902371449576,0.04887647181570546,50,338,81,298,0.10702981619852088,0.5221514833873182
RandomForestRegressor,Featset1,Original,SCN9A,0.3194599770762432,0.22287345539550657,1.8593416630648068e-09,0.04550938757130229,0.059600552642209474,0.051364111698808064,50,338,81,539,0.36165870082895457,0.8817278624552667
RandomForestRegressor,Featset1,Original,SCN9A,0.5348279374871421,0.20037595452302912,2.109602205439498e-26,0.07287836406114483,0.06166800733234109,0.03810761166824717,50,338,81,151,0.004590892263204592,0.9082582918747306
