Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_estimators,max_depth
RandomForestRegressor,Featset1,Original,SCN9A,-0.4586660816356802,0.12668266370464448,9.428478912750448e-10,0.25975501496685166,0.32705920939949573,0.42293333407604977,50,161,81,697,1,6
RandomForestRegressor,Featset1,Original,SCN9A,-0.3857786677413784,0.03413347824240478,4.3296005011368956e-07,0.762259734608602,0.20118127109949896,0.30894032214131834,50,161,81,6,13,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.39612210815016646,0.05600923292607241,1.9775948986530368e-07,0.6194440941443801,0.30385833826290426,0.4034174091933992,50,161,81,347,1,5
RandomForestRegressor,Featset1,Original,SCN9A,-0.14471078952381644,-0.07460944314604105,0.06702301287262313,0.5079893192702989,0.21008707411278682,0.20255360066540856,50,161,81,184,1,3
RandomForestRegressor,Featset1,Original,SCN9A,-0.4685620228874657,0.13197110882570207,3.6483278540728545e-10,0.24022520245418055,0.2408193164386262,0.23459348520132106,50,161,81,476,37,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.2753745717514292,0.01801805327075567,0.0004070153823746125,0.8731528897399929,0.2964109111011478,0.2473303054064721,50,161,81,229,1,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.2202211448798617,-0.13281706027542253,0.0049994913727336695,0.23719794895893972,0.2631857290664763,0.23231847374716366,50,161,81,739,1,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.27631199970347337,-0.2522890686729879,0.0003881410256421766,0.02307444023343267,0.24620267580454785,0.24795771099740269,50,161,81,209,3,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.4548927570786093,0.11792789440484452,1.3434944543104215e-09,0.2943997292303954,0.21253169563276836,0.19660217235464844,50,161,81,957,7,2
RandomForestRegressor,Featset1,Original,SCN9A,-0.4330518554724285,-0.08917484594051894,9.605916166980396e-09,0.4285482272663579,0.22210578877139814,0.20612247248747606,50,161,81,384,62,2
