Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,max_depth,max_features
RandomForestRegressor,Featset1,Original,SCN9A,0.9230784142455782,0.48659475595506035,2.2279635744329842e-55,4.106884084721003e-06,0.08052318584835395,0.04609958825877314,50,131,81,749,10,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.926032614300465,0.4507715007862835,1.0426182013442209e-57,2.4111216771515265e-05,0.0962493384211488,0.040700638809790836,50,134,81,263,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9264928523405891,0.16645354232330542,2.6289080646991618e-58,0.1374961818084582,0.11840967783060741,0.047740341409470526,50,135,81,869,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9260790907800838,0.44631214703083333,3.7659241738776145e-58,2.9649189731814688e-05,0.09069970304220469,0.04310380040612134,50,135,81,637,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9257149405712185,0.41607304669984607,9.642380945603782e-57,0.00011192911549597415,0.09254117635307223,0.0429282317151586,50,132,81,251,10,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9207990201536862,0.34915256011899387,4.683597087923472e-57,0.0013997126487113483,0.09248965637101086,0.04504319282124111,50,137,81,607,10,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9200195619784864,0.3746161741323522,5.795171993218493e-56,0.000569969625952735,0.07454505781567212,0.04310712384415437,50,135,81,695,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9260632754637956,0.2690765555650768,1.4353864076619625e-58,0.015139316659410897,0.10911626226452527,0.04583351427497523,50,136,81,841,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9174251496685882,0.40479452509489827,7.124423899509933e-54,0.00017803404925504477,0.1270851799402431,0.04863706760212374,50,132,81,261,11,0.5
RandomForestRegressor,Featset1,Original,SCN9A,0.9275564827845751,0.38215317532894694,2.003051402389053e-57,0.0004306571286059384,0.10845669498549106,0.04879215723779436,50,132,81,834,11,0.5
